id,name,now_cost,position,team,ep_next,points_per_game_rank,selected_rank_type,influence,saves_per_90,goals_conceded_per_90,points_per_game_rank_type,web_name,creativity_rank_type,in_dreamteam,ict_index_rank_type,transfers_out_event,threat,bonus,red_cards,dreamteam_count,form_rank,influence_rank_type,influence_rank,region,form_rank_type,transfers_in_event,assists,selected_by_percent,value_season,expected_goals,clean_sheets,corners_and_indirect_freekicks_order,expected_assists_per_90,cost_change_event_fall,creativity,goals_scored,value_form,expected_assists,penalties_missed,form,chance_of_playing_next_round,event_points,clean_sheets_per_90,transfers_out,now_cost_rank,now_cost_rank_type,ict_index_rank,goals_conceded,expected_goals_conceded,direct_freekicks_order,ep_this,starts_per_90,expected_goals_conceded_per_90,expected_goal_involvements_per_90,expected_goals_per_90,ict_index,status,threat_rank,news_added,creativity_rank,points_per_game,chance_of_playing_this_round,cost_change_event,bps,starts,transfers_in,selected_rank,saves,yellow_cards,total_points,news,penalties_order,cost_change_start,own_goals,cost_change_start_fall,minutes,expected_goal_involvements,penalties_saved,threat_rank_type
502,Manor Solomon,54,MID,Spurs,0.0,651,242,0.0,0.0,0.0,296,Solomon,295,False,296,73,0.0,0,0,0,643,295,649,,291,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,5059,136,80,651,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,646,2024-08-29T11:11:30.036154Z,648,0.0,0.0,0,0,0,480,573,0,0,0,Season long loan to Leeds United,,-1,0,1,0,0.00,0,294
503,Son Heung-min,98,MID,Spurs,0.9,10,25,161.8,0.0,1.0,7,Son,18,False,21,74828,113.0,6,0,1,90,15,43,114.0,43,1319,2,4.4,3.4,1.38,1,,0.22,1,184.9,2,0.3,1.11,0,3.3,25.0,0,0.2,1050664,5,4,28,5,5.06,,0.9,1.0,1.01,0.5,0.28,46.0,d,58,2024-09-27T15:00:06.911359Z,21,6.6,25.0,-1,149,5,472153,85,0,0,33,Hamstring injury - 25% chance of playing,1.0,-2,0,2,450,2.49,0,32
504,Djed Spence,44,DEF,Spurs,0.5,408,168,9.6,0.0,0.0,129,Spence,99,False,123,259,2.0,0,0,0,482,128,364,241.0,192,125,0,0.1,0.5,0.00,0,,0.01,0,7.5,0,0.0,0.01,0,0.0,,0,0.0,5410,527,125,378,0,0.68,,0.5,0.0,0.97,0.01,0.0,1.9,a,335,,319,0.7,,0,8,0,1971,456,0,1,2,,,-1,0,1,63,0.01,0,108
505,Destiny Udogie,49,DEF,Spurs,1.5,221,44,91.2,0.0,1.27,75,Udogie,28,False,28,13237,71.0,0,0,0,240,60,152,106.0,77,6448,0,2.6,2.7,0.25,1,,0.03,1,63.6,0,0.2,0.18,0,1.0,100.0,0,0.16,241258,295,31,125,8,7.28,,1.1,1.11,1.16,0.07,0.04,22.6,a,98,2024-09-29T21:00:06.621002Z,126,1.9,75.0,-1,65,7,116879,118,0,2,13,,,-1,0,1,567,0.43,0,13
506,Micky van de Ven,46,DEF,Spurs,4.8,46,13,117.2,0.0,1.02,6,Van de Ven,58,False,50,17931,30.0,2,0,1,51,39,109,152.0,10,89706,2,10.8,5.4,0.11,2,,0.11,0,32.8,0,0.9,0.67,0,4.3,100.0,1,0.34,398288,350,50,171,6,6.14,,4.8,1.02,1.04,0.13,0.02,18.1,a,190,2024-09-02T01:30:06.631296Z,213,4.2,100.0,0,108,6,816928,39,0,2,25,,,1,0,-1,530,0.78,0,47
507,Alejo Véliz,50,FWD,Spurs,0.0,645,73,0.0,0.0,0.0,65,Veliz,64,False,65,15,0.0,0,0,0,632,64,642,,62,0,0,0.0,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,0.0,0,0.0,882,243,52,645,0,0.00,,0.0,0.0,0.0,0.0,0.0,0.0,u,638,2024-08-10T12:19:41.352153Z,641,0.0,0.0,0,0,0,0,636,0,0,0,Loaned to Espanyol,,0,0,0,0,0.00,0,64
508,Guglielmo Vicario,50,GKP,Spurs,3.8,120,14,147.6,2.14,1.14,15,Vicario,66,False,15,10575,0.0,0,0,1,83,14,59,106.0,9,8070,0,3.7,4.2,0.00,2,,0.0,0,0.0,0,0.7,0.00,0,3.3,,1,0.29,195037,200,8,205,8,7.90,,3.8,1.0,1.13,0.0,0.0,14.7,a,621,,626,3.0,,0,112,7,128946,95,15,1,21,,,0,0,0,630,0.00,0,65
509,Timo Werner,62,MID,Spurs,3.2,191,135,41.8,0.0,1.88,84,Werner,117,False,102,616,61.0,0,0,0,126,114,259,80.0,58,1202,1,0.2,1.8,0.72,1,,0.09,0,43.3,0,0.4,0.19,0,2.7,100.0,5,0.47,21606,67,45,208,4,3.63,,3.2,0.94,1.7,0.43,0.34,14.6,a,112,2024-09-18T22:30:07.407071Z,177,2.2,100.0,0,36,2,5739,376,0,0,11,,,-3,0,3,192,0.91,0,70
510,Alfie Whiteman,40,GKP,Spurs,0.5,446,24,0.0,0.0,0.0,40,Whiteman,19,False,40,2161,0.0,0,0,0,375,40,437,241.0,34,1427,0,1.5,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,,0,0.0,36824,595,51,441,0,0.00,,0.5,0.0,0.0,0.0,0.0,0.0,a,376,,420,0.0,,0,0,0,40413,171,0,0,0,,,0,0,0,0,0.00,0,13
609,Will Lankshear,45,FWD,Spurs,0.5,600,31,0.0,0.0,0.0,53,Lankshear,50,False,51,8569,0.0,0,0,0,564,50,592,241.0,46,14049,0,1.7,0.0,0.00,0,,0.0,0,0.0,0,0.0,0.00,0,0.0,100.0,0,0.0,135933,466,71,596,0,0.00,,0.5,0.0,0.0,0.0,0.0,0.0,a,570,2024-09-13T15:00:07.321230Z,589,0.0,100.0,0,0,0,250556,159,0,0,0,,,0,0,0,0,0.00,0,48
